  10.0    1.000    7.906    0.139   14.521   10.109
  15.0    1.000    5.737    0.121   11.702    5.035
  20.0    1.000    3.932    0.112    8.295    2.563
  25.0    1.000    2.831    0.104    6.249    1.608
  30.0    1.000    2.008    0.087    4.628    1.029
  36.9    1.000    1.396    0.072    3.124    0.642
  53.1    1.000    0.848    0.050    2.122    0.380
  90.0    1.000    0.572    0.039    1.368    0.246
