     123694.875000   -4.383171   -0.000000
     222600.556641   -6.310055************
     322321.412109   -5.629600************
     422174.541016   -5.183058************
     522050.046875   -4.823886************
     621931.628906   -4.766882************
     721834.767578   -4.760343************
     821744.410156   -4.868083************
     921662.648438   -5.01127718242.474609
    1021588.031250   -5.13080420458.851562
    1121516.457031   -5.24602222668.964844
    1221446.300781   -5.36699522459.750000
    1321380.302734   -5.46741222334.894531
    1421315.875000   -5.58247522239.160156
    1521256.123047   -5.67124522157.287109
    1621195.906250   -5.78813722086.369141
    1721140.160156   -5.88428322023.011719
    1821084.058594   -6.00789721964.789062
    1921034.115234   -6.08278221910.152344
