5,1,1,1,1,1
99,103,399,532,284,
10,267,2111,37,3877,2699
15,803,4607,97,9397,4043
20,1269,4990,142,10526,3253
25,1695,4799,176,10592,2726
30,2294,4607,199,10616,2361
36.9,3300,4607,237,10310,2118
53.1,4524,3838,225,9601,1721
90,6042,3455,234,8267,1486
